country,year,dim1,catex_pct
Costa Rica,2004,Urban,5.0
Costa Rica,1992,Urban,1.06
Côte d’Ivoire,2015,Urban,10.82
Côte d’Ivoire,2008,Urban,15.8
Côte d’Ivoire,2002,Urban,18.37
Côte d’Ivoire,1998,Urban,21.56
Croatia,2010,Urban,3.37
Croatia,2009,Urban,3.11
Croatia,2008,Urban,2.81
Croatia,2004,Urban,3.21
Croatia,1998,Urban,5.23
Cyprus,2010,Urban,17.16
Czechia,2010,Urban,2.67
Democratic Republic of the Congo,2012,Urban,3.87
Democratic Republic of the Congo,2004,Urban,4.08
Denmark,2010,Urban,3.91
Djibouti,1996,Urban,1.48
Dominican Republic,2007,Urban,17.13
Ecuador,2011,Urban,17.68
Ecuador,1998,Urban,8.3
Egypt,2012,Urban,23.91
Egypt,2008,Urban,15.96
Egypt,1997,Urban,6.68
El Salvador,2014,Urban,1.17
Estonia,2007,Urban,13.87
Estonia,2006,Urban,14.48
Estonia,2005,Urban,10.83
Estonia,2004,Urban,12.59
Estonia,2003,Urban,9.64
Estonia,2002,Urban,7.1
Estonia,2000,Urban,7.12
Estonia,1995,Urban,3.48
Eswatini,2009,Urban,11.83
Ethiopia,2015,Urban,7.7
Ethiopia,2011,Urban,2.64
Ethiopia,2004,Urban,1.22
Ethiopia,1999,Urban,1.66
Fiji,2008,Urban,1.17
Fiji,2002,Urban,3.11
Finland,2010,Urban,6.83
France,2010,Urban,1.66
Gabon,2005,Urban,5.71
Gambia,2015,Urban,0.16
Gambia,2010,Urban,0.49
Gambia,2003,Urban,1.02
Georgia,2013,Urban,25.85
Georgia,2012,Urban,25.75
Georgia,2011,Urban,28.53
Georgia,2010,Urban,29.06
Georgia,2009,Urban,30.19
Georgia,2008,Urban,21.44
Georgia,2007,Urban,18.68
Georgia,2006,Urban,18.76
Georgia,2005,Urban,18.15
Georgia,2004,Urban,14.56
Georgia,2003,Urban,15.23
Georgia,2002,Urban,17.82
Georgia,2001,Urban,15.16
Georgia,2000,Urban,11.56
Georgia,1999,Urban,7.75
Georgia,1998,Urban,7.0
Georgia,1997,Urban,6.83
Germany,2010,Urban,1.89
Ghana,2012,Urban,1.01
Ghana,2005,Urban,3.32
Ghana,1998,Urban,5.71
Ghana,1991,Urban,4.09
Greece,2016,Urban,16.18
Greece,2010,Urban,12.68
Guatemala,2014,Urban,1.46
Guatemala,2011,Urban,10.28
Guatemala,2000,Urban,6.38
Guinea,2012,Urban,6.37
Guinea,2007,Urban,4.16
Guinea,2002,Urban,9.58
Guyana,1993,Urban,2.98
Haiti,2013,Urban,11.14
Haiti,2012,Urban,9.17
Honduras,2004,Urban,1.37
Hungary,2010,Urban,7.57
Hungary,2007,Urban,11.48
Hungary,2006,Urban,9.99
Hungary,2005,Urban,10.85
Hungary,2004,Urban,10.51
Hungary,2003,Urban,13.1
Hungary,2002,Urban,10.39
Hungary,2001,Urban,9.03
Hungary,2000,Urban,8.81
Hungary,1999,Urban,7.24
Hungary,1998,Urban,6.4
India,2011,Urban,16.69
India,2009,Urban,13.71
India,2004,Urban,14.44
Indonesia,2018,Urban,2.82
Indonesia,2015,Urban,4.09
Indonesia,2014,Urban,5.02
Indonesia,2013,Urban,4.3
Indonesia,2012,Urban,3.9
Indonesia,2011,Urban,4.62
Indonesia,2010,Urban,4.03
Indonesia,2009,Urban,4.1
Indonesia,2007,Urban,2.86
Indonesia,2006,Urban,2.26
Indonesia,2005,Urban,2.53
Indonesia,2004,Urban,2.5
Indonesia,2003,Urban,2.33
Indonesia,2002,Urban,2.78
Indonesia,2001,Urban,3.44
Iraq,2012,Urban,3.28
Iraq,2006,Urban,3.28
Ireland,2010,Urban,6.03
Ireland,2009,Urban,5.34
Ireland,1999,Urban,5.75
Italy,2010,Urban,8.8
Jamaica,2004,Urban,9.01
Jamaica,2003,Urban,10.41
Jamaica,2002,Urban,9.94
Jamaica,1997,Urban,4.64
Jamaica,1996,Urban,6.37
Jamaica,1995,Urban,7.33
Jamaica,1994,Urban,9.56
Jamaica,1993,Urban,11.44
Jamaica,1992,Urban,10.09
Jamaica,1991,Urban,9.73
Jamaica,1990,Urban,7.25
Jordan,2008,Urban,1.89
Jordan,2006,Urban,5.46
Jordan,2002,Urban,1.77
Kazakhstan,2015,Urban,1.22
Kazakhstan,2014,Urban,1.11
Kazakhstan,2013,Urban,1.07
Kazakhstan,2012,Urban,0.98
Kazakhstan,2011,Urban,0.75
Kazakhstan,2010,Urban,4.49
Kazakhstan,2009,Urban,4.0
Kazakhstan,2008,Urban,5.31
Kazakhstan,2007,Urban,5.18
Kazakhstan,2006,Urban,1.83
Kazakhstan,2005,Urban,2.52
Kazakhstan,2004,Urban,3.64
Kazakhstan,2003,Urban,2.96
Kazakhstan,2002,Urban,2.84
Kazakhstan,2001,Urban,2.71
Kenya,2015,Urban,6.02
Kenya,2005,Urban,5.61
Kenya,1997,Urban,7.45
Kyrgyzstan,2016,Urban,2.73
Kyrgyzstan,2015,Urban,5.16
