country,year,dim1,hale,le,hale_yield
Rwanda,2019,Male,58.96,66.88,0.8815789473684211
Rwanda,2019,Female,61.41,71.24,0.8620157215047726
Rwanda,2015,Both sexes,58.87,67.69,0.8697001034126163
Rwanda,2015,Male,57.61,65.47,0.8799450129830457
Rwanda,2015,Female,60.07,69.82,0.8603551990833573
Rwanda,2010,Both sexes,55.93,64.44,0.8679391682184978
Rwanda,2010,Male,54.75,62.31,0.8786711603273952
Rwanda,2010,Female,57.07,66.51,0.8580664561720042
Rwanda,2000,Both sexes,41.19,47.51,0.8669753736055568
Rwanda,2000,Male,40.39,45.88,0.8803400174367916
Rwanda,2000,Female,42.04,49.19,0.8546452531002237
Saint Lucia,2019,Both sexes,64.7,74.33,0.870442620745325
Saint Lucia,2019,Male,63.01,71.3,0.8837307152875176
Saint Lucia,2019,Female,66.63,77.71,0.8574186076438038
Saint Lucia,2015,Both sexes,65.25,75.01,0.8698840154646047
Saint Lucia,2015,Male,63.38,71.82,0.8824839877471458
Saint Lucia,2015,Female,67.34,78.52,0.8576158940397351
Saint Lucia,2010,Both sexes,65.45,75.2,0.870345744680851
Saint Lucia,2010,Male,63.45,71.86,0.882966880044531
Saint Lucia,2010,Female,67.68,78.87,0.8581209585393687
Saint Lucia,2000,Both sexes,64.01,73.21,0.8743341073623824
Saint Lucia,2000,Male,62.37,70.31,0.8870715403214335
Saint Lucia,2000,Female,65.79,76.32,0.8620283018867926
